bug_id,creation_date,product_name,component_name,environment,severity_rating,priority,target_role,escalation_level,confidence_score
JETTY-396518,13/12/2012,JETTY,websocket,unknown,2,low,Software Developer,Standard queue,0.6114362339720628
PLATFORM-261743,20/01/2009,PLATFORM,Releng,unknown,2,low,Software Developer,Standard queue,0.7473765301242101
PLATFORM-271726,09/04/2009,PLATFORM,SWT,unknown,3,low,Frontend Developer,Same-day review,0.5143490372776303
PLATFORM-75141,28/09/2004,PLATFORM,SWT,unknown,2,low,Frontend Developer,Standard queue,0.6965617335598135
EQUINOX-307527,30/03/2010,EQUINOX,p2,unknown,2,low,Software Developer,Standard queue,0.5219937623304219
ECLIPSELINK-240718,14/07/2008,ECLIPSELINK,SDO,unknown,2,low,Software Developer,Standard queue,0.5733812917038064
Z_ARCHIVED-226295,09/04/2008,Z_ARCHIVED,TPTP,unknown,2,low,Software Developer,Standard queue,0.4485068685111065
SKALLI-347019,24/05/2011,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.48182956455470927
COMMUNITY-238215,24/06/2008,COMMUNITY,Website,unknown,2,low,Software Developer,Standard queue,0.4742980373780705
WTP_JAVA_EE_TOOLS-157117,12/09/2006,WTP_JAVA_EE_TOOLS,jst.j2ee,unknown,3,low,Systems Developer,Same-day review,0.669055188810403
ORION-522584,21/09/2017,ORION,Node,unknown,3,low,Systems Developer,Same-day review,0.6077857209398536
PDE-35723,26/03/2003,PDE,UI,unknown,3,low,Frontend Developer,Same-day review,0.45921504223788456
PLATFORM-8740,30/01/2002,PLATFORM,Update  (deprecated - use RT>Equinox>p2),unknown,2,low,Software Developer,Standard queue,0.619804516424961
LINUX_TOOLS-383097,20/06/2012,LINUX_TOOLS,LTTng,unknown,2,low,Software Developer,Standard queue,0.4772993129011587
Z_ARCHIVED-303616,23/02/2010,Z_ARCHIVED,Autotools,unknown,2,low,Software Developer,Standard queue,0.48468208613748875
PLATFORM-165786,24/11/2006,PLATFORM,Doc,unknown,2,low,Software Developer,Standard queue,0.4730663256520041
XTEND-476810,07/09/2015,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.48424575651312185
VIATRA-508569,01/12/2016,Other,Common,unknown,2,low,Software Developer,Standard queue,0.4605866756754871
MYLYN_TASKS-372579,25/02/2012,Other,Bugzilla,unknown,1,low,Software Developer,Standard queue,0.48158950090675606
ORION-430908,21/03/2014,ORION,Git,unknown,2,low,Software Developer,Standard queue,0.4429516595449776
BIRT-236785,11/06/2008,BIRT,Report,unknown,2,low,Software Developer,Standard queue,0.5059950999239018
EPF-152354,31/07/2006,EPF,Content,unknown,3,low,Systems Developer,Same-day review,0.6463767752797922
ACCELEO-510922,24/01/2017,Other,Query Language,unknown,2,low,Database Engineer,Standard queue,0.4847303697923722
BIRT-121267,16/12/2005,BIRT,Report Viewer,unknown,2,low,Software Developer,Standard queue,0.662909454089846
ORION-492382,25/04/2016,ORION,JS Tools,unknown,2,low,Software Developer,Standard queue,0.4641149663189622
PDE-68319,23/06/2004,PDE,Build,unknown,2,low,DevOps Engineer,Standard queue,0.48037900465618916
Z_ARCHIVED-354957,17/08/2011,Z_ARCHIVED,EDT,unknown,2,low,Software Developer,Standard queue,0.43901467191145505
PLATFORM-509525,20/12/2016,PLATFORM,Releng,unknown,2,low,Software Developer,Standard queue,0.6122401715266378
JDT-33245,26/02/2003,JDT,UI,unknown,2,low,Frontend Developer,Standard queue,0.44812146407762316
PLATFORM-135783,09/04/2006,PLATFORM,Update  (deprecated - use RT>Equinox>p2),unknown,2,low,Software Developer,Standard queue,0.6446156188625674
WTP_SOURCE_EDITING-238172,23/06/2008,WTP_SOURCE_EDITING,wst.xsl,unknown,2,low,Software Developer,Standard queue,0.4852141650127989
JDT-127203,09/02/2006,JDT,UI,unknown,2,low,Frontend Developer,Standard queue,0.4384010910202425
WTP_SOURCE_EDITING-445700,01/10/2014,WTP_SOURCE_EDITING,wst.xml,unknown,3,low,Systems Developer,Same-day review,0.5269458662632855
SCOUT-394217,13/11/2012,Other,Scout,unknown,2,low,Software Developer,Standard queue,0.4736833867990277
RIENA-293794,30/10/2009,Other,ridget,unknown,2,low,Software Developer,Standard queue,0.43895366768442634
EQUINOX-218970,14/02/2008,EQUINOX,Incubator,unknown,2,low,Software Developer,Standard queue,0.4601972637101849
CBI-506675,28/10/2016,Other,CBI p2 Repository Aggregator,unknown,3,low,Systems Developer,Same-day review,0.6013599523234046
TARGET_MANAGEMENT-284487,23/07/2009,Other,RSE,unknown,2,low,Software Developer,Standard queue,0.7664097077821587
PLATFORM-528051,02/12/2017,PLATFORM,UI,unknown,2,low,Frontend Developer,Standard queue,0.4603929494770944
EASE-477027,10/09/2015,Other,Modules,unknown,2,low,Software Developer,Standard queue,0.4543279665702036
CDT-326725,30/09/2010,CDT,cdt-debug-edc,unknown,2,low,Software Developer,Standard queue,0.5980575132959872
TIGERSTRIPE-319500,12/07/2010,Other,Diagrams,unknown,3,low,Systems Developer,Same-day review,0.48357753436890827
ECLIPSELINK-260554,09/01/2009,ECLIPSELINK,SDO,unknown,3,low,Systems Developer,Same-day review,0.4646865631134476
PTP-344261,29/04/2011,Other,GEM,unknown,3,low,Systems Developer,Same-day review,0.5719511668982635
GMF-TOOLING-277109,20/05/2009,Other,Samples,unknown,2,low,Software Developer,Standard queue,0.6496730099799617
PTP-245197,25/08/2008,Other,RDT,unknown,2,low,Software Developer,Standard queue,0.4683501556057577
Z_ARCHIVED-176337,05/03/2007,Z_ARCHIVED,STP,unknown,2,low,Software Developer,Standard queue,0.4594451222564697
TCF-368243,10/01/2012,Other,Target,unknown,2,low,Systems Developer,Standard queue,0.439917792326019
WTP_JAVA_EE_TOOLS-132193,16/03/2006,WTP_JAVA_EE_TOOLS,jst.j2ee,unknown,3,low,Systems Developer,Same-day review,0.7516767469059153
PDE-29294,10/01/2003,PDE,UI,unknown,2,low,Frontend Developer,Standard queue,0.564108119734249
BIRT-121109,15/12/2005,BIRT,Report Engine,unknown,2,low,Software Developer,Standard queue,0.6899643480344136
JSDT-312261,10/05/2010,Other,Debug,unknown,2,low,Software Developer,Standard queue,0.7939074096298497
GMF-RUNTIME-156705,08/09/2006,Other,General,unknown,3,low,Software Developer,Same-day review,0.5796836739993257
COMMUNITY-432037,04/04/2014,COMMUNITY,Proposals and Reviews,unknown,2,low,Software Developer,Standard queue,0.48570590796940466
JDT-42261,29/08/2003,JDT,UI,unknown,2,low,Frontend Developer,Standard queue,0.4843199413183925
ASPECTJ-152257,29/07/2006,Other,Compiler,unknown,2,low,Systems Developer,Standard queue,0.5122187167504668
WTP_WEBSERVICES-70067,14/07/2004,Other,wst.wsdl,unknown,2,low,Software Developer,Standard queue,0.44305112678792313
JETTY-485315,07/01/2016,JETTY,server,unknown,2,low,Backend Developer,Standard queue,0.48511102682496354
PAPYRUS-RT-495430,03/06/2016,Other,General,unknown,2,low,Software Developer,Standard queue,0.4392180667556291
PLATFORM-40497,18/07/2003,PLATFORM,Team,unknown,2,low,Software Developer,Standard queue,0.48578190377229186
RAP-305278,09/03/2010,RAP,Incubator,unknown,2,low,Software Developer,Standard queue,0.48493799912689095
COMMUNITY-310201,22/04/2010,COMMUNITY,CI-Jenkins,unknown,2,low,Software Developer,Standard queue,0.6118724531623012
EPF-195110,02/07/2007,EPF,Content,unknown,2,low,Software Developer,Standard queue,0.8403592784848953
JDT-60194,27/04/2004,JDT,UI,unknown,2,low,Frontend Developer,Standard queue,0.6680401353359028
Z_ARCHIVED-258485,11/12/2008,Z_ARCHIVED,Geclipse,unknown,3,low,Systems Developer,Same-day review,0.4570752931893457
CDT-374823,20/03/2012,CDT,cdt-debug-dsf-gdb,unknown,2,low,Software Developer,Standard queue,0.49834654075874374
MDT.MODISCO-313325,18/05/2010,Other,Infrastructure,unknown,2,low,DevOps Engineer,Standard queue,0.5767224935870778
PLATFORM-26851,21/11/2002,PLATFORM,Team,unknown,3,low,Systems Developer,Same-day review,0.4665998045884512
CDT-155878,31/08/2006,CDT,cdt-core,unknown,2,low,Backend Developer,Standard queue,0.480385381531003
PLATFORM-35890,31/03/2003,PLATFORM,SWT,unknown,2,low,Frontend Developer,Standard queue,0.4761465633810204
Z_ARCHIVED-314348,25/05/2010,Z_ARCHIVED,Autotools,unknown,2,low,Software Developer,Standard queue,0.4522293376142974
SAPPHIRE-377991,28/04/2012,Other,modeling,unknown,2,low,Software Developer,Standard queue,0.47610822533057096
BIRT-231769,13/05/2008,BIRT,Data,unknown,2,low,Software Developer,Standard queue,0.5126327409107085
JSDT-490143,21/03/2016,Other,General,unknown,2,low,Software Developer,Standard queue,0.4695942165864414
PDE-219250,17/02/2008,PDE,UI,unknown,2,low,Frontend Developer,Standard queue,0.6843258159246829
CDT-218124,06/02/2008,CDT,cdt-editor,unknown,2,low,Software Developer,Standard queue,0.4669143402962442
GMF-TOOLING-221300,04/03/2008,Other,Samples,unknown,2,low,Software Developer,Standard queue,0.4618180834137515
PLATFORM-49039,17/12/2003,PLATFORM,User Assistance,unknown,3,low,Systems Developer,Same-day review,0.6162032834187554
CDT-173550,08/02/2007,CDT,cdt-core,unknown,2,low,Backend Developer,Standard queue,0.571343149816863
JDT-424226,17/12/2013,JDT,Core,unknown,2,low,Backend Developer,Standard queue,0.4566661996427287
EQUINOX-61266,06/05/2004,EQUINOX,Incubator,unknown,2,low,Software Developer,Standard queue,0.5805180875097085
Z_ARCHIVED-100955,20/06/2005,Z_ARCHIVED,TPTP,unknown,3,low,Systems Developer,Same-day review,0.44478706816586755
MYLYN_REVIEWS-467049,11/05/2015,Other,Gerrit Connector,unknown,2,low,Software Developer,Standard queue,0.4614520131247214
TIGERSTRIPE-263219,02/02/2009,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.4820347710839201
PTP-240030,08/07/2008,Other,Remote Tools,unknown,2,low,Software Developer,Standard queue,0.6619109986802995
PAPYRUS-389029,07/09/2012,PAPYRUS,Core,unknown,2,low,Backend Developer,Standard queue,0.475880489866793
PAPYRUS-RT-518027,08/06/2017,Other,codegen,unknown,2,low,Software Developer,Standard queue,0.7531737697565791
PAPYRUS-336811,10/02/2011,PAPYRUS,Core,unknown,3,low,Backend Developer,Same-day review,0.5902787072396107
COMMUNITY-466736,07/05/2015,COMMUNITY,Mail,unknown,2,low,Software Developer,Standard queue,0.44587106523907594
WTP_WEBSERVICES-129688,27/02/2006,Other,jst.ws,unknown,2,low,Software Developer,Standard queue,0.7633193475038694
XTEND-400802,14/02/2013,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.46153256649460983
ORION-338498,28/02/2011,ORION,Client,unknown,2,low,Software Developer,Standard queue,0.47135724807904933
CDT-86282,23/02/2005,CDT,cdt-parser,unknown,2,low,Software Developer,Standard queue,0.5147917568009465
MYLYN_BUILDS-330910,23/11/2010,Other,Framework,unknown,1,low,Software Developer,Standard queue,0.5138741054486083
WTP_RELENG-91686,17/04/2005,Other,releng,unknown,2,low,Software Developer,Standard queue,0.45327163016484573
OOMPH-472249,09/07/2015,Other,Setup,unknown,2,low,Software Developer,Standard queue,0.4808680423435787
RAP-294587,09/11/2009,RAP,Demo,unknown,2,low,Software Developer,Standard queue,0.7742509843099592
PDE-17882,26/05/2002,PDE,UI,unknown,2,low,Frontend Developer,Standard queue,0.48515347326628155
LINUX_TOOLS-475333,19/08/2015,LINUX_TOOLS,Docker,unknown,2,low,DevOps Engineer,Standard queue,0.7469627179339771
Z_ARCHIVED-240839,15/07/2008,Z_ARCHIVED,TPTP.monitoring,unknown,2,low,Software Developer,Standard queue,0.6359525376406077
COMMUNITY-228753,24/04/2008,COMMUNITY,CVS,unknown,2,low,Software Developer,Standard queue,0.4850176756714483
ORION-376014,03/04/2012,ORION,Client,unknown,2,low,Software Developer,Standard queue,0.48572510232108995
PTP-281124,22/06/2009,Other,RDT,unknown,2,low,Software Developer,Standard queue,0.5028461154925536
CDT-255192,13/11/2008,CDT,cdt-core,unknown,2,low,Backend Developer,Standard queue,0.48370582315968214
OCL-522502,19/09/2017,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.46057082480109723
COMMUNITY-521967,06/09/2017,COMMUNITY,CI-Jenkins,unknown,3,low,Systems Developer,Same-day review,0.4943005396298469
BIRT-213945,27/12/2007,BIRT,Data,unknown,2,low,Software Developer,Standard queue,0.48434760578992136
MYLYN-115117,04/11/2005,MYLYN,Java,unknown,2,low,Backend Developer,Standard queue,0.4580792406335713
EMF-297973,16/12/2009,Other,cdo.core,unknown,2,low,Backend Developer,Standard queue,0.8119177214330087
PDE-59255,20/04/2004,PDE,UI,unknown,2,low,Frontend Developer,Standard queue,0.48439635381188206
PLATFORM-199659,11/08/2007,PLATFORM,SWT,unknown,2,low,Frontend Developer,Standard queue,0.7858426706433281
PLATFORM-143661,25/05/2006,PLATFORM,SWT,unknown,2,low,Frontend Developer,Standard queue,0.6992597715884925
ECLIPSELINK-297080,07/12/2009,ECLIPSELINK,Foundation,unknown,2,low,Software Developer,Standard queue,0.4750541357023249
BABEL-433035,17/04/2014,Other,Website,unknown,2,low,Software Developer,Standard queue,0.6508183215855006
COMMUNITY-118835,01/12/2005,COMMUNITY,Website,unknown,2,low,Software Developer,Standard queue,0.485321159034944
WTP_SOURCE_EDITING-121610,20/12/2005,WTP_SOURCE_EDITING,wst.xml,unknown,3,low,Systems Developer,Same-day review,0.7672457130057557
JAVA_SERVER_FACES-240004,08/07/2008,Other,Documentation,unknown,2,low,Product Specialist,Standard queue,0.46161848834423186
CDT-409697,03/06/2013,CDT,cdt-build,unknown,2,low,DevOps Engineer,Standard queue,0.4674040173662402
JDT-46639,13/11/2003,JDT,UI,unknown,2,low,Frontend Developer,Standard queue,0.6545661399643592
JDT-54797,15/03/2004,JDT,UI,unknown,3,low,Frontend Developer,Same-day review,0.4727066659292281
Z_ARCHIVED-133423,27/03/2006,Z_ARCHIVED,TPTP,unknown,2,low,Software Developer,Standard queue,0.5479810279320303
Z_ARCHIVED-150660,14/07/2006,Z_ARCHIVED,TPTP,unknown,3,low,Systems Developer,Same-day review,0.8433852737793215
RAP-286257,11/08/2009,RAP,RWT,unknown,2,low,Software Developer,Standard queue,0.7551190662534697
SAPPHIRE-333622,06/01/2011,Other,other,unknown,1,low,Software Developer,Standard queue,0.5275560624431537
BIRT-247123,12/09/2008,BIRT,Data,unknown,2,low,Software Developer,Standard queue,0.8378192525579691
BIRT-227951,21/04/2008,BIRT,Report Engine,unknown,2,low,Software Developer,Standard queue,0.7396387545013273
ECP-442571,26/08/2014,Other,EMF Forms,unknown,2,low,Software Developer,Standard queue,0.5258302514943793
COMMUNITY-401977,28/02/2013,COMMUNITY,Servers,unknown,2,low,Backend Developer,Standard queue,0.8255522263812258
NEBULA-264349,10/02/2009,Other,Gallery,unknown,2,low,Software Developer,Standard queue,0.47889961675793125
WTP_SOURCE_EDITING-135195,06/04/2006,WTP_SOURCE_EDITING,wst.sse,unknown,2,low,Software Developer,Standard queue,0.48351492097898635
ORION-387277,15/08/2012,ORION,Client,unknown,2,low,Software Developer,Standard queue,0.4753042685421112
CDT-266632,01/03/2009,CDT,cdt-parser,unknown,2,low,Software Developer,Standard queue,0.45876070557008863
EFXCLIPSE-411980,01/07/2013,Other,Tooling,unknown,2,low,Software Developer,Standard queue,0.47658123480691106
WTP_SERVERTOOLS-73096,01/09/2004,Other,wst.server,unknown,2,low,Backend Developer,Standard queue,0.4803721265214682
CDT-214619,08/01/2008,CDT,cdt-core,unknown,2,low,Backend Developer,Standard queue,0.4857660916837216
MDT.RMF-368037,06/01/2012,Other,Reqif-1.0,unknown,3,low,Systems Developer,Same-day review,0.46435133978578
NEBULA-306144,17/03/2010,Other,Gallery,unknown,3,low,Systems Developer,Same-day review,0.5045216799733643
ECF-495675,08/06/2016,Other,ecf.remoteservices,unknown,2,low,Backend Developer,Standard queue,0.46011788436984447
PLATFORM-2304,10/10/2001,PLATFORM,UI,unknown,2,low,Frontend Developer,Standard queue,0.5372362076893927
PLATFORM-14813,27/04/2002,PLATFORM,SWT,unknown,3,low,Frontend Developer,Same-day review,0.6172097894843372
Z_ARCHIVED-473755,28/07/2015,Z_ARCHIVED,Recommenders,unknown,2,low,Software Developer,Standard queue,0.47206336480039857
TIGERSTRIPE-236395,10/06/2008,Other,UI,unknown,2,low,Frontend Developer,Standard queue,0.4633152657026028
CDT-388648,02/09/2012,CDT,cdt-autotools,unknown,2,low,Software Developer,Standard queue,0.4616835312000467
Z_ARCHIVED-220776,28/02/2008,Z_ARCHIVED,Cosmos,unknown,2,low,Software Developer,Standard queue,0.6395827326033368
CDT-271159,03/04/2009,CDT,cdt-debug,unknown,2,low,Software Developer,Standard queue,0.6008778448302761
MDT.XSD-170925,18/01/2007,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.4800465698919146
CDT-203896,18/09/2007,CDT,cdt-build,unknown,2,low,DevOps Engineer,Standard queue,0.8732158193599481
BIRT-153412,10/08/2006,BIRT,Report Viewer,unknown,2,low,Software Developer,Standard queue,0.48573550888361355
Z_ARCHIVED-382809,17/06/2012,Z_ARCHIVED,EDT,unknown,3,low,Systems Developer,Same-day review,0.5804922995490156
EQUINOX-282917,08/07/2009,EQUINOX,Framework,unknown,2,low,Software Developer,Standard queue,0.43772559346320683
CDT-339305,08/03/2011,CDT,cdt-codan,unknown,2,low,Software Developer,Standard queue,0.555376881134882
ECLIPSELINK-374377,15/03/2012,ECLIPSELINK,JPA,unknown,2,low,Software Developer,Standard queue,0.48368547464371037
Z_ARCHIVED-101184,21/06/2005,Z_ARCHIVED,TPTP.monitoring,unknown,3,low,Systems Developer,Same-day review,0.7933018931985607
COMMUNITY-400671,13/02/2013,COMMUNITY,CI-Jenkins,unknown,2,low,Software Developer,Standard queue,0.44865192073435856
COMMUNITY-453929,02/12/2014,COMMUNITY,Proposals and Reviews,unknown,2,low,Software Developer,Standard queue,0.4843689787557186
EQUINOX-208005,30/10/2007,EQUINOX,Incubator,unknown,2,low,Software Developer,Standard queue,0.46261249930230486
BIRT-231480,11/05/2008,BIRT,Chart,unknown,2,low,Software Developer,Standard queue,0.463569177375736
PDT-380357,23/05/2012,PDT,Code Assist,unknown,2,low,Software Developer,Standard queue,0.5411545899216803
COMMUNITY-429379,01/03/2014,COMMUNITY,CI-Jenkins,unknown,3,low,Systems Developer,Same-day review,0.763754138022621
JSDT-472746,15/07/2015,Other,General,unknown,2,low,Software Developer,Standard queue,0.46255394164211355
JUBULA-346855,23/05/2011,Other,Core,unknown,1,low,Backend Developer,Standard queue,0.43607797553578537
SUBVERSIVE-354058,05/08/2011,Other,UI,unknown,2,low,Frontend Developer,Standard queue,0.48434362368978484
Z_ARCHIVED-458690,28/01/2015,Z_ARCHIVED,Mosquitto,unknown,2,low,Software Developer,Standard queue,0.4753077174054555
WTP_JAVA_EE_TOOLS-322295,10/08/2010,WTP_JAVA_EE_TOOLS,jst.j2ee,unknown,3,low,Systems Developer,Same-day review,0.9203289914565522
PAPYRUS-323119,19/08/2010,PAPYRUS,Core,unknown,2,low,Backend Developer,Standard queue,0.6087744540940707
Z_ARCHIVED-236462,10/06/2008,Z_ARCHIVED,STP,unknown,3,low,Systems Developer,Same-day review,0.7095336986228122
SWTBOT-294422,06/11/2009,Other,SWTBot,unknown,2,low,Frontend Developer,Standard queue,0.4917726439834196
EQUINOX-171701,25/01/2007,EQUINOX,Framework,unknown,2,low,Software Developer,Standard queue,0.4611919952357717
MYLYN_TASKS-481759,09/11/2015,Other,Framework,unknown,1,low,Software Developer,Standard queue,0.45676411976564113
SCOUT-404148,22/03/2013,Other,Scout,unknown,2,low,Software Developer,Standard queue,0.5718658757536609
DIRIGIBLE-485954,15/01/2016,Other,ide-templates,unknown,2,low,Software Developer,Standard queue,0.46583850460919685
WTP_COMMON_TOOLS-114138,28/10/2005,Other,wst.common,unknown,3,low,Systems Developer,Same-day review,0.6573378150689195
RAP-348375,06/06/2011,RAP,RWT,unknown,2,low,Software Developer,Standard queue,0.4651659815760925
CDT-68623,25/06/2004,CDT,cdt-parser,unknown,2,low,Software Developer,Standard queue,0.4856864280907393
Z_ARCHIVED-132297,17/03/2006,Z_ARCHIVED,TPTP,unknown,3,low,Systems Developer,Same-day review,0.9123213604897011
CDT-342683,13/04/2011,CDT,cdt-parser,unknown,2,low,Software Developer,Standard queue,0.469673078053516
MYLYN_REVIEWS-393909,08/11/2012,Other,Gerrit Connector,unknown,2,low,Software Developer,Standard queue,0.44381768968720425
TARGET_MANAGEMENT-402533,06/03/2013,Other,RSE,unknown,2,low,Software Developer,Standard queue,0.4803729987879959
PLATFORM-56961,31/03/2004,PLATFORM,UI,unknown,2,low,Frontend Developer,Standard queue,0.44958676117145296
PLATFORM-7406,09/01/2002,PLATFORM,UI,unknown,2,low,Frontend Developer,Standard queue,0.48493485944722825
COMMUNITY-431955,03/04/2014,COMMUNITY,Website,unknown,2,low,Software Developer,Standard queue,0.47530984221643613
PLATFORM-17980,27/05/2002,PLATFORM,Update  (deprecated - use RT>Equinox>p2),unknown,3,low,Systems Developer,Same-day review,0.46674179153486056
ORION-457628,15/01/2015,ORION,Client,unknown,2,low,Software Developer,Standard queue,0.5175135123968877
JDT-83705,26/01/2005,JDT,Debug,unknown,2,low,Software Developer,Standard queue,0.4424718250504791
QVTD-460538,22/02/2015,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.5745871659806514
Z_ARCHIVED-57347,02/04/2004,Z_ARCHIVED,Hyades,unknown,2,low,Software Developer,Standard queue,0.8079160931315017
WTP_WEBSERVICES-333832,10/01/2011,Other,wst.ws,unknown,1,low,Software Developer,Standard queue,0.44504740855492103
WTP_RELENG-231970,13/05/2008,Other,releng,unknown,2,low,Software Developer,Standard queue,0.44631521026228105
EQUINOX-272561,16/04/2009,EQUINOX,Framework,unknown,3,low,Systems Developer,Same-day review,0.45887871427716914
TCF-486746,28/01/2016,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.48210067372991394
GMF-TOOLING-154683,22/08/2006,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.4743964093657239
ICE-483617,03/12/2015,Other,General,unknown,2,low,Software Developer,Standard queue,0.4845480023169258
BIRT-115280,07/11/2005,BIRT,Chart,unknown,1,low,Software Developer,Standard queue,0.48565099614610485
VIATRA-441235,06/08/2014,Other,Query,unknown,2,low,Database Engineer,Standard queue,0.4730744163697408
EQUINOX-207087,22/10/2007,EQUINOX,Framework,unknown,2,low,Software Developer,Standard queue,0.5016871617768639
ORBIT-190032,30/05/2007,Other,bundles,unknown,2,low,Software Developer,Standard queue,0.5776488282491782
JDT-133614,28/03/2006,JDT,UI,unknown,2,low,Frontend Developer,Standard queue,0.44817295756910525
PLATFORM-99297,09/06/2005,PLATFORM,UI,unknown,3,low,Frontend Developer,Same-day review,0.4447189066815964
ECLIPSELINK-269258,18/03/2009,ECLIPSELINK,JPA,unknown,3,low,Systems Developer,Same-day review,0.4493246534126657
PLATFORM-56485,27/03/2004,PLATFORM,UI,unknown,2,low,Frontend Developer,Standard queue,0.45930875043872627
COMMUNITY-296857,03/12/2009,COMMUNITY,EclipseCon,unknown,2,low,Software Developer,Standard queue,0.4501918548190653
TMF-268199,11/03/2009,TMF,Xtext,unknown,2,low,Software Developer,Standard queue,0.4795390244975267
PLATFORM-58020,09/04/2004,PLATFORM,UI,unknown,3,low,Frontend Developer,Same-day review,0.4326551758647118
DALI_JPA_TOOLS-239788,07/07/2008,Other,Doc,unknown,2,low,Software Developer,Standard queue,0.4794056550134176
EQUINOX-299574,13/01/2010,EQUINOX,p2,unknown,2,low,Software Developer,Standard queue,0.46840661377654547
ECLIPSELINK-338457,28/02/2011,ECLIPSELINK,SDO,unknown,2,low,Software Developer,Standard queue,0.47652762789954195
SCOUT-461793,10/03/2015,Other,Scout,unknown,2,low,Software Developer,Standard queue,0.5744315900995303
BABEL-411126,19/06/2013,Other,Server,unknown,2,low,Backend Developer,Standard queue,0.4427858739546247
PLATFORM-347220,25/05/2011,PLATFORM,Resources,unknown,3,low,Systems Developer,Same-day review,0.7000063790091111
PAPYRUS-492194,21/04/2016,PAPYRUS,Others,unknown,2,low,Software Developer,Standard queue,0.5068835254464007
PLATFORM-20670,19/06/2002,PLATFORM,User Assistance,unknown,2,low,Software Developer,Standard queue,0.742373862884246
JETTY-394860,22/11/2012,JETTY,server,unknown,1,low,Backend Developer,Standard queue,0.4409197445454834
WTP_COMMON_TOOLS-404689,01/04/2013,Other,wst.validation,unknown,2,low,Software Developer,Standard queue,0.8787873697028948
COMMUNITY-438016,24/06/2014,COMMUNITY,Gerrit,unknown,2,low,Software Developer,Standard queue,0.8632942611877668
RTSC-291688,07/10/2009,Other,Tools,unknown,2,low,Software Developer,Standard queue,0.4619354746387273
BIRT-116176,13/11/2005,BIRT,Report Engine,unknown,2,low,Software Developer,Standard queue,0.4489980420079577
PLATFORM-311936,06/05/2010,PLATFORM,SWT,unknown,3,low,Frontend Developer,Same-day review,0.8630713541584049
