bug_id,creation_date,component_name,product_name,short_description,long_description,assignee_name,reporter_name,resolution_category,resolution_code,status_category,status_code,update_date,quantity_of_votes,quantity_of_comments,resolution_date,bug_fix_time,severity_category,severity_code
MESA-84807,2014-10-08,Mesa core,MESA,Build issue starting between bf4aecfb2acc8d0dc815105d2f36eccbc97c284b and a3e9582f09249ad27716ba82c7dfcee685b65d51,"Created attachment 107564
example patch

Haven't had time to bisect properly but there are a group of build patches between 

bf4aecfb2acc8d0dc815105d2f36eccbc97c284b (Good)
and
a3e9582f09249ad27716ba82c7dfcee685b65d51 (Bad)

The issue is that without doing a make distclean applying a trivial patch and doing make no longer works properly.

I am radeonsi and from clean build like -

./autogen.sh --prefix=/usr --sysconfdir=/etc --enable-texture-float --with-egl-platforms=x11drm --with-gallium-drivers=radeonsiswrast --enable-opencl --enable-gbm --enable-shared-glapi --enable-glx-tls --with-dri-drivers= && make -j5

On bad applying a patch and just doing make fails to update lib/gallium/radeonsi_dri.so

example patch and output from make on good and bad to be attached.",emil.l.velikov,adf.lists,fixed,1,resolved,4,2014-10-14,0,8,2014-10-14,6,normal,2
LIBREOFFICE-33358,2011-01-21,Spreadsheet,LIBREOFFICE,[FORMATTING] Wrong Russian format of the date,"When I format cell as date by template 'D MMMM YYYY' it results '22 Январь 2011'. It's a calque of English language 22 January 2011. In Russian it's some heresy it should be '22 января 2011' from small letter in genitive case.

The most laughable is that you have a combo for date language and get that crap instead.",erack,mistresssilvara,fixed,1,resolved,4,2011-12-09,0,4,2011-12-09,322,normal,2
XORG-23838,2009-09-10,Driver/geode,XORG,xf86-video-geode: git problem when updating,"Doing a git pull on a newly cloned repo always produce this message:
------------------------------------------------------------------
From git://anongit.freedesktop.org/git/xorg/driver/xf86-video-geode
   fc77269..6513103  master     -> origin/master
Already up-to-date.
-------------------------------------------------------------------

Doing a git status:
-------------------------------------------------------------------
# On branch master
# Your branch is ahead of 'origin/master' by 52 commits.
#
nothing to commit (working directory clean)
-------------------------------------------------------------------

The commits in questions are from 651310328e3cfc5c4936cf5df1dcaf7d319d20f6 to  fc772694ec04f729b5a1cdced7f33dc406c1d67f

I have been doing many git pull recently so this is fairly recent like a day or two. None of the other 267 other modules I pull from have this behavior so it is unlikely the problem is on my workstation.

I don't have much experience with git if you look in the web git browser the 52nd commit is tagged with HEAD:
2008-11-18	DCON: Mark 1200x900 mode as preferred.HEAD

It would make sense that if the HEAD is pointing at that commit the master branch would be ahead by 52 commits.",xorg-team,memsize,fixed,1,resolved,4,2010-04-14,0,6,2010-04-14,216,normal,2
SWFDEC-13815,2007-12-25,library,SWFDEC,Wrong url for http get,"Version: git e53a7897c6361b974dd6a98d4960b8ff8c913ea2

I get a 404 while with adobe works fine.

rm@eurasia:~/swfdec/swfdec/player$ ./swfplay http://www.betterworldbooks.com/Flash/output.swf
SWFDEC: FIXME: swfdec_pattern.c(331): swfdec_pattern_do_parse: CAIRO_EXTEND_PAD is not yet implemented
SWFDEC: WARN : swfdec_as_interpret.c(920): swfdec_action_call_method: no function named Cancel on object unknown
SWFDEC: ERROR: swfdec_loader.c(335): swfdec_loader_error: error in loader 0x83fd458: 404 Not Found

I sniffed the traffic with ethereal on both a machine with the adobe flash player and mine with swfdec and see a difference in the requested url:

adobe
------
No.     Time        Source                Destination           Protocol Info
     46 75.912082   192.168.0.56          216.117.104.143       HTTP     GET /Flash/output.swf HTTP/1.1
     47 76.065640   216.117.104.143       192.168.0.56          HTTP     HTTP/1.1 304 Not Modified
     48 76.152994   192.168.0.56          209.85.161.103        HTTP     GET /urchin.js HTTP/1.1
     49 76.342510   209.85.161.103        192.168.0.56          HTTP     Continuation or non-HTTP traffic
     50 77.311017   192.168.0.56          209.85.161.103        HTTP     GET /__utm.gif?utmwv=1&utmn=90985750&utmcs=utf-8&utmsr=1024x768&utmsc=8-bit&utmul=en-us&utmje=1&utmfl=9.0&utmcn=1&utmdt=Better%20World%20Books&utmhn=betterworldbooks.com&utmr=-&utmp=/&utmac=UA-96636-2&utmcc=__utma%3D146742055.90985750.1198609931.1198609931.1198609931.1%3B%2B__utmb%3D146742055%3B%2B__utmc%3D146742055%3B%2B__utmz%3D146742055.1198609931.1.1.utmccn%3D(direct)%7Cutmcsr%3D(direct)%7Cutmcmd%3D(none)%3B%2B HTTP/1.1
     51 77.395803   209.85.161.103        192.168.0.56          HTTP     HTTP/1.1 200 OK (GIF89a)
     52 77.486833   192.168.0.56          216.117.104.143       HTTP     GET /assets/menu.xml HTTP/1.1

swfdec
------
No.     Time        Source                Destination           Protocol Info
     15 13.720192   192.168.10.25         216.117.104.143       HTTP     GET /Flash/output.swf HTTP/1.1
     66 14.490412   216.117.104.143       192.168.10.25         HTTP     HTTP/1.1 200 OK (application/x-shockwave-flash)
     68 15.036196   192.168.10.25         216.117.104.143       HTTP     GET /Flash/assets/menu.xml HTTP/1.1
     71 15.218783   216.117.104.143       192.168.10.25         HTTP     HTTP/1.1 404 Not Found (text/html)",swfdec,riccardo.magliocchetti,fixed,1,resolved,4,2008-01-25,0,6,2008-01-25,31,normal,2
TELEPATHY-39377,2011-07-19,tp-glib,TELEPATHY,TP_CONTACT_FEATURE_LOCATION repeatedly prepared for contacts who have no location,"I noticed that whenever a chat state changes in an Empathy conversation window Empathy (well tp-glib on behalf of Empathy) would re-request Location attributes. For instance here's me typing a single character into a conversation window:

> method call sender=:1.657 -> dest=:1.452 serial=427
>             path=/org/freedesktop/Telepathy/Connection/gabble/jabber/will_40example_2fb756e715/ImChannel11
>             interface=org.freedesktop.Telepathy.Channel.Interface.ChatState
>             member=SetChatState
>    uint32 3
> signal sender=:1.452 -> dest=(null destination) serial=10051
>        path=/org/freedesktop/Telepathy/Connection/gabble/jabber/will_40example_2fb756e715/ImChannel11
>        interface=org.freedesktop.Telepathy.Channel.Interface.ChatState
>        member=ChatStateChanged
>    uint32 1
>    uint32 3
> method return sender=:1.452 -> dest=:1.657 reply_serial=427
> method call sender=:1.657 -> dest=:1.452 serial=428
>             path=/org/freedesktop/Telepathy/Connection/gabble/jabber/will_40example_2fb756e715
>             interface=org.freedesktop.Telepathy.Connection.Interface.Contacts
>             member=GetContactAttributes
>    array [
>       uint32 1
>    ]
>    array [
>       string org.freedesktop.Telepathy.Connection.Interface.Location
>    ]
>    boolean true
> method return sender=:1.452 -> dest=:1.657 reply_serial=428
>    array [
>       dict entry(
>          uint32 1
>          array [
>             dict entry(
>                string org.freedesktop.Telepathy.Connection/contact-id
>                variant                   string will@example
>             )
>          ]
>       )
>    ]

This happens because the internal CONTACT_FEATURE_FLAG_LOCATION flag is only set on a TpContact when a location is discovered for them (specifically by contact_maybe_set_location() which is called from the LocationUpdated signal and from the GetContactAttributes return callback. (And indirectly from the inexplicable GetLocations() fallback path but we'll ignore that.)

contact_maybe_set_location() looks like this:

  static void
  contact_maybe_set_location (TpContact *self
      GHashTable *location)
  {
    if (self == NULL || location == NULL)
      return

    if (self->priv->location != NULL)
      g_hash_table_unref (self->priv->location)

    self->priv->has_features |= CONTACT_FEATURE_FLAG_LOCATION
    self->priv->location = g_hash_table_ref (location)
    g_object_notify ((GObject *) self location)
  }

But the .../location attribute is defined to be omitted entirely if the contact has no location. 

TpContact should be able to tell that it requested location information and hence that the absence of the attribute indicates that the contact has no published location information.

(Relatedly I noticed that Empathy will crash if ::notify(location) is emitted by TpContact and tp_contact_get_location() subsequently returns NULL. So I guess we have to represent “I know this contact has no published location information” by an empty hash table. Joy!)

Some other features may have similar issues. I haven't really checked. This is the one that bothers me whenever I look at dbus-monitor. :)",telepathy-bugs,will,fixed,1,resolved,4,2011-07-27,0,7,2011-07-27,8,normal,2
LIBREOFFICE-31019,2010-10-20,Libreoffice,LIBREOFFICE,LibreOffice Beta 2 - unable to register/load Java runtime (on Mac OS X 10.6),"While using the above beta I found a function could not run because it requires Java. I'm almost certain the function worked in Beta 1.

I checked Preferences to find that no Java runtime was registered despite having the lastest Mac release of it (as of today). Attempts to load and register Java within LO Preferences failed despite indications that it attempts to register.

NeoOffice has the latest Java Runtime correctly registered and functions appropriately.

Thanks",thb,PeterSHarris,fixed,1,closed,6,2011-01-15,0,11,2010-11-02,13,normal,2
SYSTEMD-68370,2013-08-21,general,SYSTEMD,systemd-nspawn -b doesn't cleanup machine slice if systemd inside container,"systemd-nspawn doesn't clean all machine slices so restarting doesn't work (see below). After removing slice in /sys/fs/cgroup it starts fine.

m_melnikau-M11xR3 kvms # systemd-nspawn -D /media/gsoho -b
systemd 206 running in system mode. (+PAM +LIBWRAP -AUDIT -SELINUX +IMA -SYSVINIT -LIBCRYPTSETUP -GCRYPT +ACL -XZ)
Detected virtualization 'systemd-nspawn'.
Welcome to Gentoo/Linux!
...
All filesystems unmounted.
Storage is finalized.
Container has been shut down.

m_melnikau-M11xR3 kvms # systemd-nspawn -D /media/gsoho -b
Spawning namespace container on /media/gsoho (console is /dev/pts/4).
Init process in the container running as PID 4706.
Failed to register machine: File exists
Container failed with error code 239.

m_melnikau-M11xR3 kvms # wc -l /sys/fs/cgroup/systemd/system.slice/machine-gsoho.scope/tasks
0 /sys/fs/cgroup/systemd/system.slice/machine-gsoho.scope/tasks

m_melnikau-M11xR3 kvms # rmdir /sys/fs/cgroup/systemd/system.slice/machine-gsoho.scope/system.slice/systemd-journald.service/

m_melnikau-M11xR3 kvms # wc -l /sys/fs/cgroup/systemd/system.slice/machine-gsoho.scope/tasks                                 
wc: /sys/fs/cgroup/systemd/system.slice/machine-gsoho.scope/tasks: No such file or directory

# systemd-nspawn -D /media/gsoho -b                                                                 
...
Welcome to Gentoo/Linux!",systemd-bugs,maxposedon,fixed,1,resolved,4,2014-05-06,0,12,2013-11-06,77,normal,2
LIBREOFFICE-69169,2013-09-10,Presentation,LIBREOFFICE,SLIDESHOW: Crash when using some transition effects,"Libreoffice crashes when I press F5.

It doesn't crash for newly created files but it crashes on each ppt(x)s that I tried.

It hangs when I pressed F5 using a converted odp (from ppt).

Version: LibreOffice 4.1.1.2 410m0(Build:2)
Distro: Arch Linux
Kernel: Linux 3.10.10-1-ARCH #1 SMP PREEMPT Fri Aug 30 11:30:06 CEST 2013 x86_64 GNU/Linux",libreoffice-bugs,wmzhere,fixed,1,resolved,4,2013-11-09,0,7,2013-11-09,60,critical,5
TELEPATHY-27967,2010-05-04,tp-glib,TELEPATHY,telepathy-glib master fails check/distcheck since enums branch was merged,"Subject says it all see the referenced branch.

(Danielle: if these changes have been merged by the time you start tomorrow please have a look at them in git so you know for future work)",smcv,smcv,fixed,1,resolved,4,2010-05-04,0,3,2010-05-04,0,blocker,6
MESA-59282,2013-01-12,Drivers/Gallium/r600,MESA,Undefined symbol '_ZTVN10__cxxabiv120__si_class_type_infoE' in r600_dri.so,"Mesa from git master (head 3c3a2b51b85a90cfe670e1ca81ce86c8fa0d448d) has a undefined symbol in r600_dri.so which prevents it from being loaded:

$ LIBGL_DEBUG=verbose glxinfo
libGL: OpenDriver: trying /usr/lib64/dri/r600_dri.so
libGL error: dlopen /usr/lib64/dri/r600_dri.so failed (/usr/lib64/dri/r600_dri.so: undefined symbol: _ZTVN10__cxxabiv120__si_class_type_infoE)
libGL error: unable to load driver: r600_dri.so
libGL error: driver pointer missing
libGL error: failed to load driver: r600

configure line:
--with-dri-drivers= --with-gallium-drivers=swrastr600 --enable-gallium-llvm  --enable-gallium-egl --with-egl-platforms=x11drm --enable-gles1 --enable-gles2 --enable-glx-tls --enable-texture-float --enable-shared-glapi

I tried adding radeonsi to the list and see if this fixes it but in order to build this I have to install LLVM 3.2 which I'm not planning to do today.",dri-devel,tdroste,fixed,1,resolved,4,2013-01-13,0,10,2013-01-13,1,blocker,6
XORG-1203,2004-08-27,Lib/Xlib,XORG,multiple definitions of XdmcpWrap,"in make Xnest and XWin (both include libX11 and libXdmcp)

../../exports/lib/libXdmcp.a(Wrap.o)(.text+0x0): In function `XdmcpWrap':
/mnt/d/ago/xorg-head/xc/.build/lib/Xdmcp/Wrap.c:56: multiple definition of
`_XdmcpWrap'
../../exports/lib/libX11.a(d000548.o)(.text+0x0): first defined here
collect2: ld returned 1 exit status

I don't know how to solve this without removing Wrap.c from libX11 and linking
it to libXdmcp",xorg-team,ago,fixed,1,resolved,4,2007-01-23,0,10,2004-08-31,4,blocker,6
CAIRO-8313,2006-09-17,pdf backend,CAIRO,cairo_pdf_surface_set_size missing cairo_public,"as a result the function does not get exported (when building with msvc) and
gtk+ HEAD has a missing external",krh,hans,fixed,1,resolved,4,2006-09-18,0,2,2006-09-18,1,normal,2
LIBREOFFICE-35252,2011-03-12,WWW,LIBREOFFICE,Bugzilla Version picker: New version LibO 3.3.2 RC2 is missing,"We need 3.3.2 in Version picker.

Can't we get that in a to do list so that always when a new version will be uploaded to the mirrors a reminder will be there for the responsible one?",thb,LibreOffice,fixed,1,resolved,4,2011-03-21,0,5,2011-03-21,9,normal,2
XORG-6329,2006-03-21,Lib/other,XORG,Xlib: maximum number of clients reached,"When running for a couple of days under a moderate load (two dozen or so 
windows at a time mostly konqueror/konsole/kate) the server starts responding 
with the message Xlib: maximum number of clients reached. The server is still 
usable as long as there are less than 10 (approximately) windows open (I can 
close some windows to open another but thats it applications using older 
widget libraries such as gs refuse to connect even if all windows are 
closed). The server has to be restarted to correct the problem. 
 
Open file descriptors (when server becomes inoperative): 
/usr/X11R6/lib/X11/fonts/Type1/encodings.dir     - 344  
/usr/X11R6/lib/X11/fonts/encodings/encodings.dir - 344 
all other files and sockets                      - 40 
 
Therefore I believe this is a bug. I'm using both Type1 and TTF fonts. 
 
System info: 
Kernel: 2.6.15.1 #1 SMP PREEMPT 
Video driver: nvidia proprietary 1.0-8178 
Ram: 512 MB 
Processor: Intel P-4 1.8GHz",xorg-team,oakad,fixed,1,resolved,4,2018-06-11,0,6,2018-06-11,4465,normal,2
DRI-39696,2011-07-30,DRM/Radeon,DRI,dual head: different vert refresh freq applications sync to the wrong one,"I've a notebook with a JUNIPER 0x1002:0x68A0 chip using KMS dri and gallium.

I mostly use external monitors connected by display port HDMI or DVI
cloning the internal display onto them (identical resolution identical screen).

No matter what monitor (I tried two different Dell an Iiyama and an Acer) and 
what port (DVI HDMI DP) I use 
KMS always sets sligthly different vertical refresh frequencies: 
The internal display runs at 60 Hz the external monitor runs at 59.9 Hz.

However although I only look at the external monitor all applications
(both 3D/DRM and video/Xv) sync to the vert refresh of the internal display.

This results in very nasty tearing effects: 
A clearly visible horizontal offset line moves up slowly on the external monitor 
for any video or 3D application (cyclically with a period of about 10 seconds).

1.) Is there a way to run both displays at exactly the same vert frequency
and with synchronized vertical retrace?
2.) Is there a way to switch 3D and video application sync
from the internal to the external vsync rate?",dri-devel,klaus.kusche,fixed,1,resolved,4,2011-08-10,0,15,2011-08-10,11,major,4
TELEPATHY-32551,2010-12-21,tp-glib,TELEPATHY,tp_base_client_set_observer_recover doesn't do what it says,tp_base_client_set_observer_recover (client FALSE) will set Recover=TRUE.,telepathy-bugs,jonny.lamb,fixed,1,resolved,4,2010-12-22,0,3,2010-12-22,1,normal,2
XORG-86655,2014-11-24,Server/Input/Core,XORG,Evdev doesn't map touch coordinates properly to secondary X screens,"On system with several X screens on same server e.g. several GPU cards that doesn't support functions similar to TwinView or BaseMosaic of NVIDIA evdev doesn't map coordinates of touch events properly.

Screen 0
 1st monitor 1920x1080 +0+0
 2nd monitor : 1920x1080 +0+1080
Screen 1
 3rd monitor: 1920x1080 +0+2160

All three are touchscreens mapped with coordinate transformation matrices like this:

Section InputClass
  Identifier Touch1
  MatchIsTouchscreen on
  MatchTag ctouch-1
  Option TransformationMatrix 1 0 0 0 0.3333 0 0 0 1
  Driver evdev
 EndSection

Section InputClass
  Identifier Touch2
  MatchIsTouchscreen on
  MatchTag ctouch-2
  Option TransformationMatrix 1 0 0 0 0.3334 0.3333 0 0 1
  Driver evdev
 EndSection

Section InputClass
  Identifier Touch3
  MatchIsTouchscreen on
  MatchTag ctouch-3
  Option TransformationMatrix 1 0 0 0 0.3333 0.6667 0 0 1
  Driver evdev
 EndSection

Two upper touchscreen work as intended if I touch third cursor got placed on bottom edge of display. Same hardware displays arranged in horizontal pattern from left to right result in cursor clinging on rightmost edge. Relative coordinates pointer device (mouse) work with no err.",peter.hutterer,ellanteres,fixed,1,resolved,4,2017-02-03,0,10,2017-02-03,802,major,4
